Name,Gender,SSN,Member Date,Phone,State,Zip,Email,Credit Card,Credit Card_Number,Credit Card Exp,Gender,Favorite Radio Station,Purchases Past 30 Days,Spent Past 30 Days,Purchases Past 6 Months,Spent Past 6 Months,Purchases Past 12 Months,Spent Past 12 Months
Mamie Mason,female,459-69-6647,Mon Aug 01 2016 12:06:01 GMT-0400 (Eastern Daylight Time),9472284457,Indiana,82439-3619,m.masonason@gig.org,Visa,4263xxxxxxxx1913,09/23,female,WMMZ,4,$2149.81,7,$5188.75,9,$10756.500000000002
Dr. Jorge Leonard,male,267-90-8144,10/17/2015,(482) 962-5537,Pennsylvania,44795,j.leonardeonard@leiwauhi.gov,American Express,3430xxxxxxx6344,06/22,male,WLRS,4,$1510.6799999999998,5,$3679.5899999999992,15,$11241.269999999999
Sue Robertson,female,431-17-5882,Fri Jun 03 2016 01:34:30 GMT-0400 (Eastern Daylight Time),(387) 395-7066,Virginia,97198,s.robertsonobertson@odejo.co,American Express,3446xxxxxxx4624,09/21,female,WING,4,$2094.67,9,$6289.290000000001,13,$11071.11
Gilbert Houston,male,469-80-8860,Wed May 02 2012 00:45:29 GMT-0400 (Eastern Daylight Time),5776043558,Kentucky,59108-0390,g.houstonouston@fuzsi.co,Mastercard,5149xxxxxxxx7215,07/26,male,WOGV,0,$0,5,$3167.44,6,$6928.299999999999
Randy Griffith,male,936-86-6880,2/4/2006,(310) 611-5796,Delaware,22646-1080,r.griffithriffith@iptiipu.ca,Diners Club United States & Canada,5430xxxxxxxx1269,01/22,male,WJMP,4,$2080.74,8,$5466.400000000001,10,$11707.57
Lucile Bishop,female,443-08-6297,Tue May 31 2016 06:26:56 GMT-0400 (Eastern Daylight Time),(808) 609-2200,Utah,57189-7317,l.bishopishop@fudkilso.com,Discover Card,6011xxxxxxxx4095,03/25,female,KACJ,1,$869.04,5,$4535.56,6,$7605.860000000001
Mr. Shane Hughes,male,278-42-7591,2/17/2006,3356852122,Pennsylvania,67098-3590,s.hughesughes@leh.net,Visa,4694xxxxxxxx8259,06/23,male,WJTV,2,$1417.77,7,$5436.54,8,$8565.21
Larry Sparks,male,211-00-3913,28/9/2007,6667374920,IN,81455-5156,l.sparksparks@gafnecnuc.au,Mastercard,5117xxxxxxxx7913,02/23,male,WBME,4,$1397.93,5,$4579.31,8,$8570.740000000002
Dr. Sadie Hogan,female,425-51-1446,Mon Jul 02 2007 21:31:31 GMT-0400 (Eastern Daylight Time),3189038083,Kansas,97873-1458,s.Hogan@wo.gov,Visa,4061xxxxxxxx0424,06/18,female,KDHH,0,$0,3,$1389.21,10,$5401.1900000000005
Vera Sharp,female,337-52-6574,7/3/2015,8676596027,C.O.,73806,v.sharpharp@vulos.edu,Discover Card,6011xxxxxxxx0859,07/19,female,KBMB,3,$1632.69,4,$3717.08,9,$9822.12
Amanda Craig,female,373-59-4142,Sun Aug 17 2014 08:44:20 GMT-0400 (Eastern Daylight Time),(951) 347-3265,Michigan,65251,a.craigraig@lu.nz,American Express,3404xxxxxxx6419,03/18,female,WTHN,0,$0,5,$2825.4399999999996,8,$6937.979999999999
Mister Arthur Wallace,male,120-54-7783,13/12/2008,(562) 988-4539,W.A.,89954,a.wallaceallace@wiclacpud.net,Discover Card,6011xxxxxxxx8686,07/23,male,KHST,4,$1789.27,5,$4499.82,13,$11695.34
Joe Estrada,male,603-37-0899,3/28/2016,8308268822,M.T.,88094-1943,j.estradastrada@te.info,Diners Club United States & Canada,5480xxxxxxxx5609,11/17,male,KLTX,2,$982.99,4,$2259.46,13,$8527.65
Ophelia Lee,female,549-30-5657,14/7/2007,3464159274,California,83688-4346,o.Lee@tudde.info,Diners Club United States & Canada,5429xxxxxxxx5084,07/23,female,KFRX,4,$1433.33,5,$4591.54,7,$7983.280000000002
Miss Leona Fox,female,432-20-2722,Wed Apr 08 2009 12:50:08 GMT-0400 (Eastern Daylight Time),(812) 887-7136,M.S.,03831-4171,l.Fox@kak.ca,Mastercard,5178xxxxxxxx6824,04/19,female,WILF,2,$1015.19,3,$2633.51,13,$8123.340000000001
Miss Lena Doyle,female,937-21-8751,Sat Aug 01 2015 13:47:43 GMT-0400 (Eastern Daylight Time),(986) 478-9204,OK,31468-4649,l.doyleoyle@ovo.gov,Mastercard,5192xxxxxxxx0458,02/17,female,KAYZ,4,$2708.89,5,$4747.38,8,$8393.32
Curtis Powers,male,332-30-7548,14/12/2007,(919) 727-4554,Nevada,47519-6358,c.powersowers@wo.org,Discover Card,6011xxxxxxxx3280,10/22,male,KFNN,2,$1375.6799999999998,6,$5159.129999999999,15,$13100.08
Susie Moran,female,523-10-3166,6/3/2017,8164602604,I.A.,26609-9984,s.Moran@eziwgi.co,Discover Card,6011xxxxxxxx3578,03/26,female,KPDE,2,$801.3,6,$4742.96,7,$8497.810000000001
Mister Ray Mendez,male,337-02-8478,10/3/2013,(288) 821-6886,Wyoming,85533,r.mendezendez@ijmag.ca,Visa,4439xxxxxxxx2922,01/21,male,KWXT,5,$2583.67,7,$6200.29,15,$12706.71
Clyde Mendoza,male,429-61-7058,2/5/2016,4058751537,R.I.,61790-5160,c.Mendoza@izofera.edu,Discover Card,6011xxxxxxxx8990,04/26,male,WBWE,3,$2843.3900000000003,7,$6446.76,12,$13136.920000000002
Mister Mike Jenkins,male,869-64-4308,6/3/2016,(225) 276-1062,G.A.,92801,m.Jenkins@ni.au,Visa,4337xxxxxxxx1589,08/20,male,WTHG,3,$743.5600000000001,5,$2867.8599999999997,7,$6329.98
Mr. Vincent Roberts,male,557-47-8699,23/10/2011,4862697087,Delaware,69139,v.robertsoberts@utseodu.com,Mastercard,5160xxxxxxxx8035,11/22,male,WMNK,5,$948.2499999999999,9,$5729.11,13,$12001.269999999999
Lucas King,male,852-24-7710,3/30/2012,5156863740,Pennsylvania,39347-8948,l.kinging@ro.com,Visa,4865xxxxxxxx4745,05/27,male,WKHR,4,$1979.3,5,$3979.46,7,$6155.49
Victoria Bishop,female,325-42-5441,Sun May 21 2006 15:15:45 GMT-0400 (Eastern Daylight Time),6254005776,Vermont,27339,v.bishopishop@vi.org,Mastercard,5166xxxxxxxx7502,01/27,female,WUBP,3,$1819.6799999999998,8,$6694.28,9,$11414.56
Doctor Francis Fox,male,666-06-9299,Tue Jun 14 2011 11:14:04 GMT-0400 (Eastern Daylight Time),7449056431,K.Y.,69174-1109,f.foxox@pam.co,Discover Card,6011xxxxxxxx1731,09/27,male,WCOS,5,$1420.76,9,$6904.739999999999,19,$15492.419999999998
Walter Fox,male,254-34-8279,Fri Jun 10 2016 13:14:14 GMT-0400 (Eastern Daylight Time),(220) 574-7224,South Carolina,14431,w.Fox@evpored.co,American Express,3499xxxxxxx0530,05/27,male,WTVH,2,$1617.68,6,$5210.540000000001,9,$10172.389999999998
Dr. Douglas Watts,male,692-89-9707,Sat Dec 12 2015 03:38:03 GMT-0500 (Eastern Standard Time),2298804606,Oklahoma,23868-7534,d.Watts@zobnutga.gov,Mastercard,5131xxxxxxxx4220,06/24,male,KXHF,3,$1323.89,5,$4283.490000000001,7,$7350.34
Polly Aguilar,female,225-06-7323,Sun May 28 2006 21:55:29 GMT-0400 (Eastern Daylight Time),(335) 926-3446,Illinois,48660,p.Aguilar@is.au,Diners Club United States & Canada,5460xxxxxxxx2663,07/21,female,WXGZ,0,$0,2,$1248.17,9,$5383.320000000001
Victor Manning,male,709-63-1802,10/6/2009,8323115321,MO,00628,v.manninganning@romwid.gov,Mastercard,5141xxxxxxxx1453,04/25,male,KOAT,2,$1494.28,3,$2872.2700000000004,6,$5897.67
Doctor Della Collins,female,433-72-3337,Fri Jul 02 2010 10:28:17 GMT-0400 (Eastern Daylight Time),2649535889,O.R.,51359-3095,d.Collins@gef.ca,Mastercard,5196xxxxxxxx6795,05/22,female,KSPL,5,$2668.1499999999996,6,$5998.41,12,$12510.96
Joshua Wright,male,323-89-9385,5/11/2015,9845132084,WY,85850-7976,j.wrightright@gaszemap.net,Mastercard,5158xxxxxxxx9804,09/24,male,KRUV,2,$1528.08,5,$4870.22,15,$11834.240000000003
Dr. Alta Santiago,female,632-94-6554,5/1/2014,(442) 212-7411,North Carolina,62900-2380,a.Santiago@bubsabe.edu,Mastercard,5145xxxxxxxx8653,06/17,female,WCUQ,3,$2297.08,6,$4234.9,13,$10721.6
Miss Minerva Richards,female,740-10-9037,Fri Nov 25 2005 17:02:37 GMT-0500 (Eastern Standard Time),(372) 286-7766,PA,59898-1727,m.richardsichards@mugatu.com,Diners Club United States & Canada,5448xxxxxxxx6007,02/26,female,WJIW,0,$0,3,$1692.79,10,$6974.109999999999
Mrs. Mable Gray,female,561-26-9968,Sun May 24 2009 00:18:25 GMT-0400 (Eastern Daylight Time),(509) 677-7423,A.L.,85714,m.Gray@vudcis.com,American Express,3456xxxxxxx0260,07/20,female,WWCF,4,$1444.1299999999999,7,$4920.719999999999,13,$12840.099999999999
Tommy Cooper,male,076-97-0306,Wed Sep 01 2010 00:23:21 GMT-0400 (Eastern Daylight Time),2393942368,PA,58997,t.cooperooper@ed.info,Visa,4354xxxxxxxx8576,11/25,male,WMOF,5,$2019.5800000000002,8,$6184.57,17,$15875.730000000001
Doctor Myrtie Cole,female,306-57-8598,Thu Jul 19 2007 15:05:48 GMT-0400 (Eastern Daylight Time),(980) 360-7398,G.A.,49608-7916,m.coleole@paebbo.com,American Express,3483xxxxxxx3504,04/23,female,WFUE,4,$1371.73,9,$6387.67,14,$13834.150000000003
Leo Martinez,male,702-18-2308,5/6/2010,(825) 329-6855,Washington,61651,l.Martinez@lohtumo.org,American Express,3416xxxxxxx0736,03/24,male,KLVP,5,$2815.1,6,$5932.82,15,$13852.859999999999
Sue McGuire,female,428-46-4696,1/7/2016,7137819379,Nevada,71686-1058,s.mcguirecGuire@koc.net,Diners Club United States & Canada,5472xxxxxxxx4977,12/24,female,KDAJ,1,$867.34,6,$5464.95,10,$10339.689999999999
Joseph McCoy,male,411-19-1739,Sun May 13 2012 00:37:39 GMT-0400 (Eastern Daylight Time),(537) 411-4557,AK,17335,j.mccoycCoy@kegor.co,Mastercard,5175xxxxxxxx9033,06/23,male,KYZC,1,$154.98,4,$2295.76,11,$8111.41
Vernon McGee,male,255-17-0577,23/12/2009,9246631945,WI,06803-5596,v.mcgeecGee@abili.org,Diners Club United States & Canada,5466xxxxxxxx8803,12/25,male,WLYM,5,$2519.49,6,$6133.32,11,$11137.93
Duane Newton,male,202-91-0111,2/24/2012,(941) 634-6290,Delaware,15199-9813,d.newtonewton@viw.net,Visa,4807xxxxxxxx4348,03/17,male,WNFA,0,$0,4,$1213.1999999999998,13,$7933.97
Elijah Rivera,male,286-41-6119,Sun Oct 24 2010 10:46:10 GMT-0400 (Eastern Daylight Time),(227) 361-2259,New Jersey,92799-7223,e.Rivera@iljaora.co,Diners Club United States & Canada,5471xxxxxxxx9761,07/19,male,WCGY,2,$625.79,3,$2054.71,6,$4538.879999999999
